trialNum,currentDate,target_angle,trial_type,rotation,hand_fb_angle,rt,mt,search_time,reach_feedback,movement_trajectory,day
21,12/8/2025 23:2.26.126,80,no_fb,0,75.3274,237,650,2127,too_slow,"""\""[{\\\""x\\\"":0.2432,\\\""y\\\"":0.4702,\\\""t\\\"":0},{\\\""x\\\"":0.2469,\\\""y\\\"":0.433,\\\""t\\\"":16},{\\\""x\\\"":0.2584,\\\""y\\\"":0.3373,\\\""t\\\"":33},{\\\""x\\\"":0.2584,\\\""y\\\"":0.3373,\\\""t\\\"":33},{\\\""x\\\"":0.2728,\\\""y\\\"":0.2484,\\\""t\\\"":50},{\\\""x\\\"":0.2827,\\\""y\\\"":0.1978,\\\""t\\\"":66},{\\\""x\\\"":0.2827,\\\""y\\\"":0.1978,\\\""t\\\"":66},{\\\""x\\\"":0.2864,\\\""y\\\"":0.1909,\\\""t\\\"":634}]\""""",1
22,12/8/2025 23:2.27.926,95,no_fb,0,95.9245,356,56,685,good_reach,"""\""[{\\\""x\\\"":0.2542,\\\""y\\\"":0.4572,\\\""t\\\"":0},{\\\""x\\\"":0.2409,\\\""y\\\"":0.3545,\\\""t\\\"":22},{\\\""x\\\"":0.2409,\\\""y\\\"":0.3545,\\\""t\\\"":23},{\\\""x\\\"":0.2341,\\\""y\\\"":0.2969,\\\""t\\\"":23},{\\\""x\\\"":0.226,\\\""y\\\"":0.1724,\\\""t\\\"":39},{\\\""x\\\"":0.226,\\\""y\\\"":0.1724,\\\""t\\\"":39}]\""""",1
23,12/8/2025 23:2.29.828,100,no_fb,0,106.3524,416,50,728,good_reach,"""\""[{\\\""x\\\"":0.2476,\\\""y\\\"":0.4492,\\\""t\\\"":0},{\\\""x\\\"":0.2204,\\\""y\\\"":0.3112,\\\""t\\\"":17},{\\\""x\\\"":0.2204,\\\""y\\\"":0.3112,\\\""t\\\"":18},{\\\""x\\\"":0.2047,\\\""y\\\"":0.218,\\\""t\\\"":34}]\""""",1
24,12/8/2025 23:2.31.762,85,no_fb,0,77.3649,349,52,827,good_reach,"""\""[{\\\""x\\\"":0.2574,\\\""y\\\"":0.4694,\\\""t\\\"":0},{\\\""x\\\"":0.2582,\\\""y\\\"":0.4362,\\\""t\\\"":17},{\\\""x\\\"":0.2582,\\\""y\\\"":0.4362,\\\""t\\\"":17},{\\\""x\\\"":0.2629,\\\""y\\\"":0.3538,\\\""t\\\"":18},{\\\""x\\\"":0.2731,\\\""y\\\"":0.2625,\\\""t\\\"":34},{\\\""x\\\"":0.2731,\\\""y\\\"":0.2625,\\\""t\\\"":35}]\""""",1
25,12/8/2025 23:2.35.925,90,no_fb,0,90.2449,356,77,799,good_reach,"""\""[{\\\""x\\\"":0.2437,\\\""y\\\"":0.4673,\\\""t\\\"":0},{\\\""x\\\"":0.2442,\\\""y\\\"":0.4524,\\\""t\\\"":11},{\\\""x\\\"":0.2442,\\\""y\\\"":0.4018,\\\""t\\\"":27},{\\\""x\\\"":0.244,\\\""y\\\"":0.2926,\\\""t\\\"":44},{\\\""x\\\"":0.244,\\\""y\\\"":0.2926,\\\""t\\\"":44},{\\\""x\\\"":0.2469,\\\""y\\\"":0.1948,\\\""t\\\"":61}]\""""",1
26,12/8/2025 23:2.38.156,90,no_fb,0,97.0484,361,48,607,good_reach,"""\""[{\\\""x\\\"":0.7369,\\\""y\\\"":0.4608,\\\""t\\\"":0},{\\\""x\\\"":0.7306,\\\""y\\\"":0.3457,\\\""t\\\"":15},{\\\""x\\\"":0.7275,\\\""y\\\"":0.2727,\\\""t\\\"":33},{\\\""x\\\"":0.7275,\\\""y\\\"":0.2727,\\\""t\\\"":34},{\\\""x\\\"":0.7265,\\\""y\\\"":0.1988,\\\""t\\\"":34}]\""""",1
27,12/8/2025 23:2.40.444,95,no_fb,0,103.9613,389,44,717,good_reach,"""\""[{\\\""x\\\"":0.7474,\\\""y\\\"":0.4668,\\\""t\\\"":1},{\\\""x\\\"":0.739,\\\""y\\\"":0.4156,\\\""t\\\"":10},{\\\""x\\\"":0.7207,\\\""y\\\"":0.2926,\\\""t\\\"":28},{\\\""x\\\"":0.7134,\\\""y\\\"":0.236,\\\""t\\\"":44},{\\\""x\\\"":0.7134,\\\""y\\\"":0.236,\\\""t\\\"":44}]\""""",1
28,12/8/2025 23:2.42.725,100,no_fb,0,99.52,427,33,1115,good_reach,"""\""[{\\\""x\\\"":0.737,\\\""y\\\"":0.4275,\\\""t\\\"":1},{\\\""x\\\"":0.737,\\\""y\\\"":0.4275,\\\""t\\\"":2},{\\\""x\\\"":0.7299,\\\""y\\\"":0.3719,\\\""t\\\"":2},{\\\""x\\\"":0.7213,\\\""y\\\"":0.2617,\\\""t\\\"":17},{\\\""x\\\"":0.7213,\\\""y\\\"":0.2617,\\\""t\\\"":17}]\""""",1
29,12/8/2025 23:2.44.417,80,no_fb,0,71.2869,400,34,544,good_reach,"""\""[{\\\""x\\\"":0.772,\\\""y\\\"":0.3823,\\\""t\\\"":0},{\\\""x\\\"":0.7791,\\\""y\\\"":0.3392,\\\""t\\\"":17},{\\\""x\\\"":0.7791,\\\""y\\\"":0.3392,\\\""t\\\"":18},{\\\""x\\\"":0.7903,\\\""y\\\"":0.2751,\\\""t\\\"":18}]\""""",1
30,12/8/2025 23:2.46.484,85,no_fb,0,70.3934,378,50,925,good_reach,"""\""[{\\\""x\\\"":0.7653,\\\""y\\\"":0.4044,\\\""t\\\"":0},{\\\""x\\\"":0.7653,\\\""y\\\"":0.4044,\\\""t\\\"":1},{\\\""x\\\"":0.7774,\\\""y\\\"":0.32,\\\""t\\\"":17},{\\\""x\\\"":0.7915,\\\""y\\\"":0.2417,\\\""t\\\"":34},{\\\""x\\\"":0.7915,\\\""y\\\"":0.2417,\\\""t\\\"":35}]\""""",1
31,12/8/2025 23:2.51.13,80,online_fb,0,78.2476,332,50,552,good_reach,"""\""[{\\\""x\\\"":0.262,\\\""y\\\"":0.4653,\\\""t\\\"":1},{\\\""x\\\"":0.2623,\\\""y\\\"":0.3943,\\\""t\\\"":16},{\\\""x\\\"":0.2646,\\\""y\\\"":0.3402,\\\""t\\\"":33},{\\\""x\\\"":0.2756,\\\""y\\\"":0.234,\\\""t\\\"":33},{\\\""x\\\"":0.2809,\\\""y\\\"":0.1894,\\\""t\\\"":49}]\""""",1
32,12/8/2025 23:2.53.28,95,online_fb,0,105.2456,367,51,890,good_reach,"""\""[{\\\""x\\\"":0.2502,\\\""y\\\"":0.4538,\\\""t\\\"":0},{\\\""x\\\"":0.2502,\\\""y\\\"":0.4538,\\\""t\\\"":1},{\\\""x\\\"":0.2447,\\\""y\\\"":0.4255,\\\""t\\\"":1},{\\\""x\\\"":0.2232,\\\""y\\\"":0.3218,\\\""t\\\"":18},{\\\""x\\\"":0.2172,\\\""y\\\"":0.2851,\\\""t\\\"":34},{\\\""x\\\"":0.2172,\\\""y\\\"":0.2851,\\\""t\\\"":34},{\\\""x\\\"":0.2115,\\\""y\\\"":0.2498,\\\""t\\\"":34}]\""""",1
33,12/8/2025 23:2.55.864,85,online_fb,0,80.7351,349,884,592,too_slow,"""\""[{\\\""x\\\"":0.2527,\\\""y\\\"":0.4414,\\\""t\\\"":1},{\\\""x\\\"":0.2558,\\\""y\\\"":0.3848,\\\""t\\\"":18},{\\\""x\\\"":0.2558,\\\""y\\\"":0.3848,\\\""t\\\"":18},{\\\""x\\\"":0.2589,\\\""y\\\"":0.3496,\\\""t\\\"":19},{\\\""x\\\"":0.2676,\\\""y\\\"":0.2732,\\\""t\\\"":35},{\\\""x\\\"":0.2728,\\\""y\\\"":0.233,\\\""t\\\"":51},{\\\""x\\\"":0.2728,\\\""y\\\"":0.233,\\\""t\\\"":51},{\\\""x\\\"":0.2785,\\\""y\\\"":0.1923,\\\""t\\\"":52},{\\\""x\\\"":0.2788,\\\""y\\\"":0.1824,\\\""t\\\"":867}]\""""",1
